OrgName,ActivityID,MembershipID,DaycareProgramID,FacilityID
lstgbreckenridgerec,6311,52,189,124
lstgcampbellrecreation,6645,55,,113
lstgchandleraz,16955,111,47,375
lstgchesterfieldparksrec,6098,,,948
lstgcityofcarlsbad,10695,53,65,251
lstgcityofcorona,5354,67,3,219
lstgcityofdowney,3500,8,3,129
lstgculpepercopandr,2179,,,194
lstgdenver,8689,223,127,2137
lstgebparks,10988,20,,461
lstgencinitasparksandrec,5770,,,124
lstgfalmouthcommunityprog,5236,,,317
lstgfpdccrecreation,5,51,,1126
lstggepark,5937,80,20,159
lstggjparksandrec,4256,30,12,213
lstgindymca,5027,3524,639,344
lstgkansascityymca,9457,8052,950,302
lstglanguagestars,4335,,8,
lstglbparks,6381,31,27,388
lstgmesaaz,6311,52,,592
lstgminneapolisparks,59217,596,1736,5273
lstgmontgomerycounty,8011,115,3,18696
lstgnorthshoreymca,16391,1028,826,205
lstgomahaconservatory,568,3,,806
lstgoneteamkids,3689,5,3,99
lstgportlandparks,46212,353,65,5587
lstgrightatschool,2973,95,524,
lstgsanjoseparksandrec,53323,366,3,694
lstgsdparkandrec,21919,1,5,3050
lstgsfcmprep,1695,25,,231
lstgymcasatx,3848,584,283,174
lstgymcagreaterbrandywine,11466,1442,1119,961
