Host,Port,Description,Display Name,Group,Security Group
ANACMP003.active.tan,,,ANACMP003,ActiveNet PERF\ActiveNetACMTest,
ANACMP003a.active.tan,,,ANACMP003a,ActiveNet PERF\ActiveNetACMTest,
ANACMP003B.active.tan,,,ANACMP003B,ActiveNet PERF\ActiveNetACMTest,
ANACMP004.active.tan,,,ANACMP004,ActiveNet PERF\ActiveNetACMTest,
ANACMP004A.active.tan,,,ANACMP004a,ActiveNet PERF\ActiveNetACMTest,
ANACMP004B.active.tan,,,ANACMP004B,ActiveNet PERF\ActiveNetACMTest,
ANACMP005.active.tan,,,ANACMP005,ActiveNet PERF\ActiveNetACMTest,
ANACMP005a.active.tan,,,ANACMP005a,ActiveNet PERF\ActiveNetACMTest,
ANACMP005b.active.tan,,,ANACMP005b,ActiveNet PERF\ActiveNetACMTest,
ANACMP006.active.tan,,,ANACMP006,ActiveNet PERF\ActiveNetACMTest,
ANACMP006A.active.tan,,,ANACMP006A,ActiveNet PERF\ActiveNetACMTest,
anacmp006b.active.tan,,,anacmp006b,ActiveNet PERF\ActiveNetACMTest,
anacmp006c.active.tan,,,anacmp006c,ActiveNet PERF\ActiveNetACMTest,
anacmp006d.active.tan,,,anacmp006d,ActiveNet PERF\ActiveNetACMTest,
anacmp007.active.tan,,,anacmp007,ActiveNet PERF\ActiveNetACMTest,
anacmp007a.active.tan,,,anacmp007a,ActiveNet PERF\ActiveNetACMTest,
anacmp007b.active.tan,,,anacmp007b,ActiveNet PERF\ActiveNetACMTest,
anacmp007c.active.tan,,,anacmp007c,ActiveNet PERF\ActiveNetACMTest,
anacmp007d.active.tan,,,anacmp007d,ActiveNet PERF\ActiveNetACMTest,
anacmp008.active.tan,,,anacmp008,ActiveNet PERF\ActiveNetACMTest,
anacmp008a.active.tan,,,anacmp008a,ActiveNet PERF\ActiveNetACMTest,
anacmp008b.active.tan,,,anacmp008b,ActiveNet PERF\ActiveNetACMTest,
anacmp008c.active.tan,,,anacmp008c,ActiveNet PERF\ActiveNetACMTest,
anacmp008d.active.tan,,,anacmp008d,ActiveNet PERF\ActiveNetACMTest,
perf-activenet-01w.an.active.tan,,,perf-activenet-01w,ActiveNet PERF\anperf01,
perf-activenet-02w.an.active.tan,,,perf-activenet-02w,ActiveNet PERF\anperf01,
perf-activenet-03w.an.active.tan,,,perf-activenet-03w,ActiveNet PERF\anperf01,
perf-activenet-04w.an.active.tan,,,perf-activenet-04w,ActiveNet PERF\anperf01,
perf-activenet-05w.an.active.tan,,,perf-activenet-05w,ActiveNet PERF\anperf01,
perf-activenet-06w.an.active.tan,,,perf-activenet-06w,ActiveNet PERF\anperf01,
perf-activenet-07w.an.active.tan,,,perf-activenet-07w,ActiveNet PERF\anperf01,
perf-activenet-08w.an.active.tan,,,perf-activenet-08w,ActiveNet PERF\anperf01,
perf-activenet-09w.an.active.tan,,,perf-activenet-09w,ActiveNet PERF\anperf01,
perf-activenet-10w.an.active.tan,,,perf-activenet-10w,ActiveNet PERF\anperf01,
perf-activenet-11w.an.active.tan,,,perf-activenet-11w,ActiveNet PERF\anperf01,
perf-activenet-12w.an.active.tan,,,perf-activenet-12w,ActiveNet PERF\anperf01,
perf-activenet-13w.an.active.tan,,,perf-activenet-13w,ActiveNet PERF\anperf01,
perf-activenet-14w.an.active.tan,,,perf-activenet-14w,ActiveNet PERF\anperf01,
perf-activenet-15w.an.active.tan,,,perf-activenet-15w,ActiveNet PERF\anperf01,
perf-activenet-16w.an.active.tan,,,perf-activenet-16w,ActiveNet PERF\anperf01,
perf-activenet-17w.an.active.tan,,,perf-activenet-17w,ActiveNet PERF\anperf01,
perf-activenet-18w.an.active.tan,,,perf-activenet-18w,ActiveNet PERF\anperf01,
perf-activenet-19w.an.active.tan,,,perf-activenet-19w,ActiveNet PERF\anperf01,
perf-activenet-20w.an.active.tan,,,perf-activenet-20w,ActiveNet PERF\anperf01,
perf-activenet-cui-01w.an.active.tan,,,perf-activenet-cui-01w,ActiveNet PERF\CUI,
perf-activenet-cui-02w.an.active.tan,,,perf-activenet-cui-02w,ActiveNet PERF\CUI,
perf-activenet-cui-03w.an.active.tan,,,perf-activenet-cui-03w,ActiveNet PERF\CUI,
perf-activenet-cui-04w.an.active.tan,,,perf-activenet-cui-04w,ActiveNet PERF\CUI,
perf-activenet-cui-05w.an.active.tan,,,perf-activenet-cui-05w,ActiveNet PERF\CUI,
perf-activenet-cui-06w.an.active.tan,,,perf-activenet-cui-06w,ActiveNet PERF\CUI,
perf-activenet-cui-07w.an.active.tan,,,perf-activenet-cui-07w,ActiveNet PERF\CUI,
perf-activenet-cui-08w.an.active.tan,,,perf-activenet-cui-08w,ActiveNet PERF\CUI,
perf-ignite-01w.an.active.tan,,,perf-ignite-01w,ActiveNet PERF\Ignite,
perf-ignite-02w.an.active.tan ,,,perf-ignite-02w.an.active.tan ,ActiveNet PERF\Ignite,
perf-ignite-03w.an.active.tan ,,,perf-ignite-03w,ActiveNet PERF\Ignite,
perf-activenet-cui-01w.an.active.tan,,,perf-activenet-cui-01w.an.active.tan,ActiveNet PERF\NewCart,
perf-activenet-cui-02w.an.active.tan,,,perf-activenet-cui-02w.an.active.tan,ActiveNet PERF\NewCart,
perf-activenet-cui-03w.an.active.tan,,,perf-activenet-cui-03w.an.active.tan,ActiveNet PERF\NewCart,
perf-activenet-cui-04w.an.active.tan,,,perf-activenet-cui-04w.an.active.tan,ActiveNet PERF\NewCart,
perf-activenet-cui-05w.an.active.tan,,,perf-activenet-cui-05w.an.active.tan,ActiveNet PERF\NewCart,
perf-activenet-cui-06w.an.active.tan,,,perf-activenet-cui-06w.an.active.tan,ActiveNet PERF\NewCart,
perf-activenet-cui-07w.an.active.tan,,,perf-activenet-cui-07w.an.active.tan,ActiveNet PERF\NewCart,
perf-activenet-cui-08w.an.active.tan,,,perf-activenet-cui-08w.an.active.tan,ActiveNet PERF\NewCart,
prod-activenet-01ce.an.active.tan,,,prod-activenet-01ce,ActiveNet PROD\CA_AUI,
prod-activenet-02ce.an.active.tan,,,prod-activenet-02ce,ActiveNet PROD\CA_AUI,
prod-activenet-06ce.an.active.tan,,,prod-activenet-06ce,ActiveNet PROD\CA_AUI,
prod-activenet-14ce.an.active.tan,,,prod-activenet-14ce,ActiveNet PROD\CA_AUI,
prod-activenet-15ce.an.active.tan,,,prod-activenet-15ce,ActiveNet PROD\CA_AUI,
prod-activenet-19ce.an.active.tan,,,prod-activenet-19ce,ActiveNet PROD\CA_AUI,
prod-activenet-cui-01ce.an.active.tan,,,prod-activenet-cui-01ce,ActiveNet PROD\CA_NewCUI,
prod-activenet-cui-05ce.an.active.tan,,,prod-activenet-cui-05ce,ActiveNet PROD\CA_NewCUI,
Prod-activenet-rush-01ce.an.active.tan,,,Prod-activenet-rush-01ce,ActiveNet PROD\CA_Rush,
prod-ats-activenet14-01cw.active.tan,,,prod-ats-activenet14-01cw,ActiveNet PROD\Kelowna_ATS,
prod-ats-activenet14-02cw.active.tan,,,prod-ats-activenet14-02cw,ActiveNet PROD\Kelowna_ATS,
prod-activenet-rush-01cw.an.active.tan,,,prod-activenet-rush-01cw,ActiveNet PROD\Kelowna_AUI,
prod-activenet-rush-05cw.an.active.tan,,,prod-activenet-rush-05cw,ActiveNet PROD\Kelowna_AUI,
prod-activenet-01w.an.active.tan,,,prod-activenet-01w,ActiveNet PROD\LV_AUI,
prod-activenet-02w.an.active.tan,,,prod-activenet-02w,ActiveNet PROD\LV_AUI,
prod-activenet-03w.an.active.tan,,,prod-activenet-03w,ActiveNet PROD\LV_AUI,
prod-activenet-16w.an.active.tan,,,prod-activenet-16w,ActiveNet PROD\LV_AUI,
prod-activenet-21w.an.active.tan,,,prod-activenet-21w,ActiveNet PROD\LV_AUI,
prod-activenet-22w.an.active.tan,,,prod-activenet-22w,ActiveNet PROD\LV_AUI,
prod-activenet-57w.an.active.tan,,,prod-activenet-57w,ActiveNet PROD\LV_AUI,
prod-activenet-58w.an.active.tan,,,prod-activenet-58w,ActiveNet PROD\LV_AUI,
prod-activenet-85w.an.active.tan,,,prod-activenet-85w,ActiveNet PROD\LV_AUI,
prod-activenet-93w.an.active.tan,,,prod-activenet-93w,ActiveNet PROD\LV_AUI,
prod-activenet-95w.an.active.tan,,,prod-activenet-95w,ActiveNet PROD\LV_AUI,
prod-activenet-96w.an.active.tan,,,prod-activenet-96w,ActiveNet PROD\LV_AUI,
prod-activenet-101w.an.active.tan,,,prod-activenet-101w,ActiveNet PROD\LV_AUI,
prod-activenet-109w.an.active.tan,,,prod-activenet-109w,ActiveNet PROD\LV_AUI,
prod-ignite-01w.an.active.tan,,,prod-ignite-01w,ActiveNet PROD\LV_Ignite,
prod-ignite-02w.an.active.tan,,,prod-ignite-02w,ActiveNet PROD\LV_Ignite,
prod-activenet-cui-01w.an.active.tan,,,prod-activenet-cui-01w,ActiveNet PROD\LV_NewCUI,
prod-activenet-cui-02w.an.active.tan,,,prod-activenet-cui-02w,ActiveNet PROD\LV_NewCUI,
prod-activenet-cui-03w.an.active.tan,,,prod-activenet-cui-03w,ActiveNet PROD\LV_NewCUI,
prod-activenet-cui-05w.an.active.tan,,,prod-activenet-cui-05w,ActiveNet PROD\LV_NewCUI,
prod-activenet-cui-06w.an.active.tan,,,prod-activenet-cui-06w,ActiveNet PROD\LV_NewCUI,
prod-activenet-cui-07w.an.active.tan,,,prod-activenet-cui-07w,ActiveNet PROD\LV_NewCUI,
prod-activenet-cui-12w.an.active.tan,,,prod-activenet-cui-12w,ActiveNet PROD\LV_NewCUI,
anrpt01.active.tan,,,anrpt01.active.tan,ActiveNet PROD\LV_Report,
prod-activenet-rush-01w.an.active.tan,,,prod-activenet-rush-01w,ActiveNet PROD\LV_Rush,
prod-activenet-rush-02w.an.active.tan,,,prod-activenet-rush-02w,ActiveNet PROD\LV_Rush,
prod-activenet-rush-03w.an.active.tan,,,prod-activenet-rush-03w,ActiveNet PROD\LV_Rush,
prod-activenet-rush-04w.an.active.tan,,,prod-activenet-rush-04w,ActiveNet PROD\LV_Rush,
prod-activenet-rush-05w.an.active.tan,,,prod-activenet-rush-05w,ActiveNet PROD\LV_Rush,
prod-activenet-rush-06w.an.active.tan,,,prod-activenet-rush-06w,ActiveNet PROD\LV_Rush,
prod-activenet-rush-07w.an.active.tan,,,prod-activenet-rush-07w,ActiveNet PROD\LV_Rush,
prod-activenet-rush-08w.an.active.tan,,,prod-activenet-rush-08w,ActiveNet PROD\LV_Rush,
prod-activenet-rush-09w.an.active.tan,,,prod-activenet-rush-09w,ActiveNet PROD\LV_Rush,
prod-activenet-rush-10w.an.active.tan,,,prod-activenet-rush-10w,ActiveNet PROD\LV_Rush,
prod-activenet-rush-11w.an.active.tan,,,prod-activenet-rush-11w,ActiveNet PROD\LV_Rush,
prod-activenet-rush-01w.an.active.tan,,,prod-activenet-rush-12w,ActiveNet PROD\LV_Rush,
prod-activenet-rush-13w.an.active.tan,,,prod-activenet-rush-13w,ActiveNet PROD\LV_Rush,
prod-activenet-rush-14w.an.active.tan,,,prod-activenet-rush-14w,ActiveNet PROD\LV_Rush,
prod-activenet-rush-15w.an.active.tan,,,prod-activenet-rush-15w,ActiveNet PROD\LV_Rush,
prod-activenet-rush-16w.an.active.tan,,,prod-activenet-rush-16w,ActiveNet PROD\LV_Rush,
prod-activenet-rush-17w.an.active.tan,,,prod-activenet-rush-17w,ActiveNet PROD\LV_Rush,
prod-activenet-rush-18w.an.active.tan,,,prod-activenet-rush-18w,ActiveNet PROD\LV_Rush,
ANWSSTGBULKMAIL.dev.activenetwork.com,,,ANWSSTGBULKMAIL,ActiveNet Stage,
dbstganet01.dev.activenetwork.com,,,dbstganet01,ActiveNet Stage,
anwsstgacm0101.dev.activenetwork.com,,,anwsstgacm0101,ActiveNet Stage\CUI,
anwsstgacm0102.dev.activenetwork.com,,,anwsstgacm0102,ActiveNet Stage\CUI,
anwsstgacm0103.dev.activenetwork.com,,,anwsstgacm0103.dev.activenetwork.com,ActiveNet Stage\CUI,
anwsstgacm0104.dev.activenetwork.com,,,anwsstgacm0104,ActiveNet Stage\CUI,
stage-activenet-ignite01w.an.dev.activenetwork.com,,,stage-activenet-ignite01w,ActiveNet Stage\Ignite,
stage-activenet-ignite02w.an.dev.activenetwork.com,,,stage-activenet-ignite02w,ActiveNet Stage\Ignite,
stage-activenet-ignite03w.an.dev.activenetwork.com,,,stage-activenet-ignite03w,ActiveNet Stage\Ignite,
stage-activenet-ignite04w.an.dev.activenetwork.com,,,stage-activenet-ignite04w,ActiveNet Stage\Ignite,
stage-activenet-01w.an.dev.activenetwork.com,,,stage-activenet-01w,ActiveNet Stage\Servlet,
stage-activenet-02w.an.dev.activenetwork.com,,,stage-activenet-02w,ActiveNet Stage\Servlet,
stage-activenet-03w.an.dev.activenetwork.com,,,stage-activenet-03w,ActiveNet Stage\Servlet,
stage-activenet-04w.an.dev.activenetwork.com,,,stage-activenet-04w,ActiveNet Stage\Servlet,
s-an-scart-01w.dev.activenetwork.com,,,s-an-scart-01w,ActiveNet Stage\ShoppingCart,
s-an-scart-02w.dev.activenetwork.com,,,s-an-scart-02w,ActiveNet Stage\ShoppingCart,
stage-shoppingcart-01w.an.dev.activenetwork.com,,,stage-shoppingcart-01w,ActiveNet Stage\ShoppingCart,
stage-shoppingcart-02w.an.dev.activenetwork.com,,,stage-shoppingcart-02w,ActiveNet Stage\ShoppingCart,
qaneolglin01.dev.activenetwork.com,,,qaneolglin01.dev.activenetwork.com,App Performance\Load Generator,
qaneolglin02.dev.activenetwork.com,,,qaneolglin02.dev.activenetwork.com,App Performance\Load Generator,
qaneolglin03.dev.activenetwork.com,,,qaneolglin03.dev.activenetwork.com,App Performance\Load Generator,
qaneolglin04.dev.activenetwork.com,,,qaneolglin04.dev.activenetwork.com,App Performance\Load Generator,
qaneolglin05.dev.activenetwork.com,,,qaneolglin05.dev.activenetwork.com,App Performance\Load Generator,
qaneolglin06.dev.activenetwork.com,,,qaneolglin06.dev.activenetwork.com,App Performance\Load Generator,
qaneolglin07.dev.activenetwork.com,,,qaneolglin07.dev.activenetwork.com,App Performance\Load Generator,
